Ingrediente,Quantita,Unita di misura,Nome Piatto
 Burro freddo,150,g,Biscotti alla paprika
 Farina 00,250,g,Biscotti alla paprika
 Parmigiano Reggiano DOP,100,g,Biscotti alla paprika
 Uova (circa 2 medie),100,g,Biscotti alla paprika
 Lievito istantaneo per preparazioni salate,8,g,Biscotti alla paprika
 Paprika dolce rasi,2,cucchiaini,Biscotti alla paprika
 Sale fino,q.b.,n.a.,Biscotti alla paprika
 Pepe nero,q.b.,n.a.,Biscotti alla paprika
 Uova,1,pezzi,Biscotti alla paprika
 Granella di nocciole,20,g,Biscotti alla paprika
 Mandorle in scaglie,20,g,Biscotti alla paprika
 Pasta Sfoglia rotolo,1,pezzi,Bastoncini di pasta sfoglia al formaggio
 Semi di papavero bianco,3,g,Bastoncini di pasta sfoglia al formaggio
 Semi di papavero nero,3,g,Bastoncini di pasta sfoglia al formaggio
 Grana Padano DOP da grattugiare,50,g,Bastoncini di pasta sfoglia al formaggio
 Uova,1,pezzi,Bastoncini di pasta sfoglia al formaggio
 Paprika,q.b.,n.a.,Bastoncini di pasta sfoglia al formaggio
 Sale fino,q.b.,n.a.,Bastoncini di pasta sfoglia al formaggio
 Latte intero,1,cucchiaio,Bastoncini di pasta sfoglia al formaggio
 Acqua,200,g,Brustengo
 Farina 00,120,g,Brustengo
 Sale fino,q.b.,n.a.,Brustengo
 Olio extravergine d'oliva,15,g,Brustengo
 Prosciutto crudo di Norcia,100,g,Brustengo
 Pecorino da grattugiare,90,g,Brustengo
 Polpo,1,kg,Insalata tiepida di polpo e patate
 Patate,1,kg,Insalata tiepida di polpo e patate
 Alloro,2,foglie,Insalata tiepida di polpo e patate
 Prezzemolo,1,ciuffo,Insalata tiepida di polpo e patate
 Pepe nero,q.b.,n.a.,Insalata tiepida di polpo e patate
 Olio extravergine d'oliva,60,g,Insalata tiepida di polpo e patate
 Sale fino,q.b.,n.a.,Insalata tiepida di polpo e patate
 Succo di limone,60,g,Insalata tiepida di polpo e patate
 Gamberi,12,pezzi,Insalata di daikon e gamberi
 Daikon,80,g,Insalata di daikon e gamberi
 Carote,100,g,Insalata di daikon e gamberi
 Semi di papavero,q.b.,n.a.,Insalata di daikon e gamberi
