Ingrediente,Quantita,Unita_di_misura,Nome_Piatto,,,,
 Burro freddo,150.0,g,Biscotti alla paprika,,,,
 Farina 00,250.0,g,Biscotti alla paprika,,,,
 Parmigiano Reggiano DOP,100.0,g,Biscotti alla paprika,,,,
 Uova (circa 2 medie),100.0,g,Biscotti alla paprika,,,,
 Lievito istantaneo per preparazioni salate,8.0,g,Biscotti alla paprika,,,,
 Paprika dolce rasi,2.0,cucchiaini,Biscotti alla paprika,,,,
 Sale fino,-1.0,n.a.,Biscotti alla paprika,,,,
 Pepe nero,-1.0,n.a.,Biscotti alla paprika,,,,
 Uova,1.0,pezzi,Biscotti alla paprika,,,,
 Granella di nocciole,20.0,g,Biscotti alla paprika,,,,
 Mandorle in scaglie,20.0,g,Biscotti alla paprika,,,,
 Pasta Sfoglia rotolo,1.0,pezzi,Bastoncini di pasta sfoglia al formaggio,,,,
 Semi di papavero bianco,3.0,g,Bastoncini di pasta sfoglia al formaggio,,,,
 Semi di papavero nero,3.0,g,Bastoncini di pasta sfoglia al formaggio,,,,
 Grana Padano DOP da grattugiare,50.0,g,Bastoncini di pasta sfoglia al formaggio,,,,
 Uova,1.0,pezzi,Bastoncini di pasta sfoglia al formaggio,,,,
 Paprika,-1.0,n.a.,Bastoncini di pasta sfoglia al formaggio,,,,
 Sale fino,-1.0,n.a.,Bastoncini di pasta sfoglia al formaggio,,,,
 Latte intero,1.0,cucchiaio,Bastoncini di pasta sfoglia al formaggio,,,,
 Acqua,200.0,g,Brustengo,,,,
 Farina 00,120.0,g,Brustengo,,,,
 Sale fino,-1.0,n.a.,Brustengo,,,,
 Olio extravergine d'oliva,15.0,g,Brustengo,,,,
 Prosciutto crudo di Norcia,100.0,g,Brustengo,,,,
 Pecorino da grattugiare,90.0,g,Brustengo,,,,
 Polpo,1.0,kg,Insalata tiepida di polpo e patate,,,,
 Patate,1.0,kg,Insalata tiepida di polpo e patate,,,,
 Alloro,2.0,foglie,Insalata tiepida di polpo e patate,,,,
 Prezzemolo,1.0,ciuffo,Insalata tiepida di polpo e patate,,,,
 Pepe nero,-1.0,n.a.,Insalata tiepida di polpo e patate,,,,
 Olio extravergine d'oliva,60.0,g,Insalata tiepida di polpo e patate,,,,
 Sale fino,-1.0,n.a.,Insalata tiepida di polpo e patate,,,,
 Succo di limone,60.0,g,Insalata tiepida di polpo e patate,,,,
 Gamberi,12.0,pezzi,Insalata di daikon e gamberi,,,,
 Daikon,80.0,g,Insalata di daikon e gamberi,,,,
 Carote,100.0,g,Insalata di daikon e gamberi,,,,
 Semi di papavero,-1.0,n.a.,Insalata di daikon e gamberi,,,,
 Fiocchi di sale,-1.0,n.a.,Insalata di daikon e gamberi,,,,
 Limoni,1.0,pezzi,Insalata di daikon e gamberi,,,,
 Basilico,-1.0,n.a.,Insalata di daikon e gamberi,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Insalata di daikon e gamberi,,,,
 Tuorli,1.0,pezzi,Insalata di daikon e gamberi,,,,
 Aceto di riso,10.0,g,Insalata di daikon e gamberi,,,,
 Wasabi pasta,2.0,g,Insalata di daikon e gamberi,,,,
 Olio di semi di arachide,80.0,g,Insalata di daikon e gamberi,,,,
 Sale fino,-1.0,n.a.,Insalata di daikon e gamberi,,,,
 Riso per sushi,300.0,g,Temaki di salmone,,,,
 Acqua,360.0,ml,Temaki di salmone,,,,
 Aceto di riso,90.0,ml,Temaki di salmone,,,,
 Alga kombu,1.0,pezzi,Temaki di salmone,,,,
 Sale fino,3.0,g,Temaki di salmone,,,,
 Zucchero,36.0,g,Temaki di salmone,,,,
 Filetto di salmone norvegese,400.0,g,Temaki di salmone,,,,
 Alga nori,2.0,fogli,Temaki di salmone,,,,
 Avocado,250.0,g,Temaki di salmone,,,,
 Sale fino,1.0,pizzico,Temaki di salmone,,,,
 Pepe nero,1.0,pizzico,Temaki di salmone,,,,
 Zenzero fresco,2.0,g,Temaki di salmone,,,,
 Erba cipollina,2.0,fili,Temaki di salmone,,,,
 Semi di sesamo,-1.0,n.a.,Temaki di salmone,,,,
 Semi di sesamo nero,-1.0,n.a.,Temaki di salmone,,,,
 Cozze,1.0,kg,Cozze alla tarantina,,,,
 Polpa di pomodoro,400.0,g,Cozze alla tarantina,,,,
 Aglio,2.0,spicchi,Cozze alla tarantina,,,,
 Peperoncino fresco,1.0,pezzi,Cozze alla tarantina,,,,
 Vino bianco,50.0,g,Cozze alla tarantina,,,,
 Olio extravergine d'oliva,40.0,g,Cozze alla tarantina,,,,
 Pepe nero,-1.0,n.a.,Cozze alla tarantina,,,,
 Sale fino,-1.0,n.a.,Cozze alla tarantina,,,,
 Prezzemolo,-1.0,n.a.,Cozze alla tarantina,,,,
 Pane pugliese,8.0,fette,Cozze alla tarantina,,,,
 Pasta Sfoglia rettangolare,230.0,g,Torta salata alla barbabietola,,,,
 Barbabietole precotte,210.0,g,Torta salata alla barbabietola,,,,
 Gorgonzola dolce,150.0,g,Torta salata alla barbabietola,,,,
 Timo,3.0,rametti,Torta salata alla barbabietola,,,,
 Sale fino,-1.0,n.a.,Torta salata alla barbabietola,,,,
 Pepe nero,-1.0,n.a.,Torta salata alla barbabietola,,,,
 Uova,1.0,pezzi,Torta salata alla barbabietola,,,,
 Zucchine,570.0,g,Zucchine fritte,,,,
