Nome_Piatto,Calorie_kcal,Carboidrati_g,Zuccheri_g,Grassi_g,Grassi Saturi_g,Fibre_g,Colesterolo_mg,Sodio_mg
Biscotti alla paprika,117.0,8.1,0.4,7.8,3.99,0.5,43.0,80.0
Bastoncini di pasta sfoglia al formaggio,229.0,15.7,0.9,16.1,6.61,1.1,41.0,318.0
Brustengo,299.0,23.4,0.6,15.4,6.11,0.8,41.0,1365.0
Insalata tiepida di polpo e patate,456.0,41.7,5.1,19.5,3.54,4.1,162.0,836.0
Insalata di daikon e gamberi,317.0,5.7,5.1,28.1,5.32,2.7,157.0,611.0
Temaki di salmone,673.0,78.1,11.9,28.1,4.95,3.2,35.0,601.0
Cozze alla tarantina,191.0,6.8,4.1,12.5,1.91,1.4,100.0,543.0
Torta salata alla barbabietola,239.0,14.7,1.8,17.3,7.17,1.4,43.0,372.0
Zucchine fritte,557.0,21.5,2.3,50.3,9.77,2.5,0.0,2950.0
Gamberi al cocco,,,,,,,,
Avocado uova e salmone,343.0,2.0,2.0,30.3,4.9,3.3,194.0,792.0
Insalata di frutta,178.0,12.0,11.2,12.6,1.81,3.4,0.0,342.0
Poke,277.0,1.1,0.7,16.7,5.34,0.2,96.0,632.0
Crostino vegano,488.0,37.3,4.5,33.3,4.58,4.8,0.0,651.0
Melanzane sott'olio,298.0,1.2,1.2,32.3,4.68,1.0,0.0,16.0
Roselline di prosciutto crudo su fichi,103.0,10.8,10.8,4.1,1.32,1.2,14.0,515.0
Hummus,211.0,12.0,2.4,14.7,2.01,8.7,0.0,657.0
Caprese sfiziosa con salsa all'origano,977.0,6.3,6.3,86.4,15.86,2.0,140.0,804.0
Suppli al telefono,435.0,27.6,2.6,30.9,9.01,1.0,83.0,259.0
Crocchette di patate al forno,68.0,7.6,0.2,3.0,1.09,0.6,33.0,118.0
Asparagi in sfoglia con crudo,545.0,35.0,6.8,35.0,13.65,5.2,89.0,1139.0
Sbriciolata di patate,,,,,,,,
Insalata di zucchine alla menta e basilico,99.0,3.1,2.9,8.5,1.24,2.8,0.0,1819.0
Salsa cocktail,,,,,,,,
Plumcake alle zucchine,,,,,,,,
Involtini di verza,305.0,22.4,1.9,19.4,7.25,1.4,27.0,534.0
Tomino in crosta di sfoglia,,,,,,,,
Gamberi in crosta,385.0,18.6,4.5,26.7,8.85,1.1,176.0,699.0
Tortino di patate in padella,218.0,7.3,0.7,14.1,6.91,0.7,48.0,540.0
Insalata allo yogurt con salmone e gamberetti,175.0,4.2,4.2,13.0,2.48,0.8,30.0,712.0
Pesce finto,216.0,23.0,7.4,8.5,2.07,3.4,30.0,299.0
Olive all' ascolana,1247.0,39.3,6.1,103.2,19.42,7.7,223.0,523.0
Friselle con pomodoro e alici,130.0,10.1,3.5,8.7,1.29,2.0,2.0,378.0
Frollini al Parmigiano,37.0,2.0,0.1,2.6,1.26,0.1,6.0,52.0
Pizzette di zucchine,175.0,3.3,3.3,15.3,4.38,1.4,12.0,351.0
Polpette di lenticchie,109.0,9.0,0.4,6.7,1.54,1.1,13.0,103.0
Frittatine di pasta napoletane,671.0,52.2,5.0,46.4,12.96,2.0,35.0,178.0
Chips di patate,561.0,22.5,0.5,51.2,9.93,25.0,0.0,499.0
Panelle,509.0,56.0,4.0,25.2,3.43,8.8,0.0,435.0
Melanzane alla sarda,63.0,6.7,6.7,2.8,0.42,4.7,0.0,241.0
Teste di champignon ripieni,118.0,5.9,0.9,7.4,2.58,2.1,9.0,685.0
Saute di cozze e vongole,177.0,5.3,2.9,10.1,1.49,0.6,128.0,269.0
Polpette di tonno e patate,205.0,14.1,0.9,14.4,1.8,1.1,32.0,189.0
Spiedini di gamberi,126.0,10.2,3.8,5.6,0.83,1.5,62.0,217.0
Peperoni ripieni vegetariani,,,,,,,,
Tartare di tonno,245.0,12.1,1.9,16.9,5.68,0.8,35.0,320.0
Avocado toast,461.0,16.0,6.4,36.9,8.25,3.7,89.0,1133.0
Polpette di zucca,198.0,6.1,1.1,17.3,3.71,0.4,22.0,182.0
Pizza muffin,,,,,,,,
Mozzarella ripiena,376.0,3.1,3.1,29.7,15.1,1.1,58.0,548.0
Friggitelli ripieni vegetariani,94.0,7.8,4.6,5.9,1.3,1.3,3.0,79.0
Rotolini di zucchina in sfoglia,304.0,18.0,1.1,21.6,9.63,1.2,30.0,677.0
Fagottini di porri salmone e robiola,356.0,28.0,8.9,19.0,10.08,3.1,122.0,652.0
Anelli di cipolla in pastella,593.0,20.5,3.3,54.4,11.01,0.9,54.0,330.0
Baccala mantecato alla veneziana,,,,,,,,
Churros,230.0,7.9,2.9,21.4,6.29,0.2,37.0,70.0
Vitello tonnato alla maniera antica,382.0,3.2,3.2,19.9,5.13,0.2,290.0,867.0
Polpette di patate al forno,445.0,63.0,2.3,13.8,4.23,4.5,162.0,769.0
Cotolette di melanzane,531.0,12.7,3.4,51.5,7.1,3.4,46.0,2109.0
Frittata di asparagi,445.0,7.2,7.2,33.6,15.37,4.0,377.0,727.0
Pasta brise,422.0,44.8,1.3,24.2,13.99,1.4,71.0,116.0
Mini cheesecake al salmone,260.0,11.4,1.6,19.5,10.77,0.4,62.0,595.0
Sformato di zucchine,191.0,6.8,3.7,14.1,5.79,1.5,152.0,385.0
Frittatine nella pancetta,205.0,0.8,0.8,19.6,7.59,0.1,134.0,177.0
Carpaccio di polpo,289.0,9.1,9.1,11.6,2.64,1.8,244.0,1038.0
Mozzarella fritta ,165.0,6.7,0.4,12.9,3.47,0.3,27.0,129.0
Strudel con ricotta e spinaci,619.0,36.9,7.8,43.0,18.77,4.2,136.0,723.0
Croque monsieur,,,,,,,,
Gazpacho andaluso,239.0,28.0,11.6,11.9,1.96,4.0,0.0,686.0
Peperoni con la mollica,165.0,21.7,5.6,6.5,1.83,2.0,7.0,542.0
Torta di zucchine e i suoi fiori,383.0,21.9,2.1,27.1,11.67,2.1,32.0,478.0
Torta salata agli spinaci,,,,,,,,
Alici marinate,416.0,2.8,2.7,37.6,6.27,2.2,57.0,598.0
Cozze alla marinara,205.0,4.4,0.5,13.4,2.11,0.2,152.0,364.0
Babaganoush,85.0,3.6,2.1,6.9,0.99,2.0,0.0,167.0
Frittata,159.0,0.1,0.1,8.4,4.66,0.1,24.0,814.0
Pizza di scarola,476.0,92.0,2.8,5.9,0.94,3.8,2.0,1385.0
Pizzelle fritte,217.0,19.2,1.8,14.0,3.0,1.5,3.0,562.0
Grissini,61.0,10.2,0.2,1.6,0.24,0.3,0.0,80.0
Panzanella,,,,,,,,
Uova in camicia,210.0,32.3,0.5,4.4,1.61,1.5,184.0,691.0
Frittelle di sciurilli,,,,,,,,
Torta di patate e prosciutto,831.0,30.7,5.2,56.2,30.69,3.3,250.0,1368.0
Fiori di zucca ripieni di speck e mozzarella,300.0,4.0,3.9,22.4,7.43,1.6,106.0,742.0
Polpette di ceci,145.0,6.4,0.9,11.4,2.17,1.6,19.0,85.0
Tramezzini,173.0,14.4,1.5,10.3,2.7,1.0,19.0,279.0
Tempura,684.0,45.2,4.1,50.6,5.58,1.9,75.0,100.0
Anelli di calamari al forno,309.0,41.7,3.7,7.4,1.76,2.8,63.0,1068.0
Naan,271.0,50.2,2.4,4.2,1.11,1.6,3.0,362.0
Polipetti Affogati,272.0,9.5,9.5,13.3,2.52,2.3,162.0,839.0
Cocktail di gamberetti,387.0,5.9,5.8,33.4,4.16,1.8,217.0,475.0
Empanadas argentine,,,,,,,,
Feta al forno,398.0,7.3,7.3,33.2,16.08,2.7,70.0,2041.0
Rotolo di mozzarella farcito,446.0,1.9,1.9,33.5,18.48,0.3,84.0,1167.0
Salvia fritta in pastella,351.0,16.4,5.6,29.5,3.9,4.5,0.0,558.0
Gamberi alla catalana,193.0,7.3,7.3,10.9,1.59,1.4,165.0,465.0
Schiacciata di zucchine,148.0,14.7,1.0,6.6,3.27,0.9,43.0,328.0
Ravioli di carne giapponesi (Gyoza),352.0,40.8,2.4,8.7,2.76,2.1,128.0,2116.0
Taralli,55.0,7.3,0.2,2.1,0.31,0.2,0.0,67.0
Torta salata di verdure,324.0,21.1,5.7,23.2,8.93,2.5,72.0,382.0
Mozzarella in carrozza al forno,305.0,27.1,2.4,14.1,7.18,1.3,127.0,622.0
Tartare di salmone con crema di avocado e mandorle tostate,392.0,4.6,4.5,32.0,5.03,4.3,31.0,680.0
Plumcake alle verdure,327.0,22.4,4.3,20.9,5.72,2.7,97.0,428.0
Crescentine o tigelle,217.0,33.2,1.5,7.0,2.25,1.2,5.0,75.0
Rustici leccesi,732.0,56.2,2.6,52.6,20.73,2.6,28.0,746.0
Sformatini di spinaci,460.0,20.0,4.5,30.2,12.44,3.1,249.0,775.0
Mini calzoni al forno,,,,,,,,
Insalata di mare,399.0,10.4,7.5,17.0,3.33,1.5,386.0,1195.0
Pomodori ripieni di tonno,394.0,7.4,7.4,33.2,5.51,2.0,195.0,497.0
Casatiello napoletano,522.0,63.2,1.8,20.1,7.48,2.1,139.0,1421.0
Cotoletta di zucchine e scamorza,,,,,,,,
Focaccia con pomodorini e origano,,,,,,,,
Cipolle di Tropea caramellate,141.0,33.5,33.5,0.1,0.03,1.5,0.0,18.0
Fiori di zucca al forno,116.0,2.7,1.5,9.2,4.49,0.4,24.0,186.0
Uova sode,64.0,0.0,0.0,4.4,1.59,0.0,186.0,69.0
Plumcake salato,477.0,28.3,2.9,30.3,12.24,0.9,163.0,668.0
